code,name,city,country
AAA,Anaa,,PF
AAB,Arrabury Airport,Tanbar,AU
AAC,El Arish International Airport,Arish,EG
AAD,Adado Airport,Adado,SO
AAE,Les Salines Airport,El Hadjar,DZ
AAF,Apalachicola Regional,Apalachicola,US
AAG,Arapoti,Jaguariaiva,BR
AAH,Aachen/Merzbruck,,DE
AAI,Arraias,Campos Belos,BR
AAJ,Cayana Airstrip,Kajana,SR
AAK,Aranuka,,KI
AAL,Aalborg Airport,Vadum,DK
AAM,Mala Mala,,ZA
AAN,Al Ain Airport,,AE
AAO,Anaco,Anaco,VE
AAP,Andrau Airpark,,US
AAQ,Anapa Airport,Anapa,RU
AAR,Aarhus Airport,Ebeltoft,DK
AAS,Apalapsili,,ID
AAT,Altay Airport,Awiytan,CN
AAU,Asau,Asau,WS
AAV,Allah Valley,Surallah,PH
AAW,Abbottabad,Abbottabad,PK
AAX,Araxa Airport,Araxa,BR
AAY,Al Ghaydah,Al Ghayzah,YE
AAZ,Quetzaltenango,Olintepeque,GT
ABA,Abakan Airport,Podsineye,RU
ABB,Asaba International Airport,Asaba,NG
ABC,Los Llanos,,ES
ABD,Abadan Airport,Abadan,IR
ABE,Lehigh Valley International Airport,Catasauqua,US
ABF,Abaiang,Buota Village,KI
ABG,Abingdon,,AU
ABH,Alpha,,AU
ABI,Abilene Regional Airport,,US
ABJ,Felix Houphouet Boigny Airport,Abidjan,CI
ABK,Kabri Dar,,ET
ABL,Ambler Airport,,US
ABM,Northern Peninsula Airport,,AU
ABN,Albina,,SR
ABO,Aboisso,Aboisso,CI
ABP,Atkamba,,PG
ABQ,Albuquerque International Sunport,Albuquerque,US
ABR,Aberdeen Municipal Airport,Aberdeen,US
ABS,Abu Simbel,,EG
ABT,Al-Aqiq Airport,Al Bahah,SA
ABU,Haliwen Airport,Atambua,ID
ABV,Nnamdi Azikiwe International Airport,Madala,NG
ABW,Abau,,PG
ABX,Albury Airport,East Albury,AU
ABY,Southwest Georgia Regional Airport,,US
ABZ,Aberdeen International Airport,Dyce,GB
ACA,Acapulco International Airport,10 de Abril,MX
ACB,Antrim County,Bellaire,US
ACC,Kotoka International Airport,Accra,GH
ACD,Acandi,,CO
ACE,Lanzarote Airport,Tias,ES
ACF,Alaer Talimu Airport,Aral,CN
ACH,Altenrhein Airport,Rheineck,CH
ACI,Alderney Airport,Beaumont-Hague,GB
ACJ,Anuradhapura,Anuradhapura,LK
ACK,Nantucket Memorial Airport,Nantucket,US
ACL,Aguaclara,Sabanalarga,CO
ACM,Arica,Pebas,CO
ACN,International,,MX
ACO,Cobano Airport,Cobano,CR
ACP,Sahand,Bonab,IR
ACR,Araracuara,,CO
ACS,Achinsk,Achinsk,RU
ACT,Waco Municipal Airport,Gholson,US
ACU,Achutupo,Portobelo,PA
ACV,Arcata-Eureka Airport,McKinleyville,US
ACX,Xingyi Airport,Xinzhou,CN
ACY,Atlantic City International Airport,Pomona,US
ACZ,Zabol Airport,Zabol,IR
ADA,Adana Airport,Seyhan,TR
ADB,Izmir Adnan Menderes Airport,,TR
ADC,Andakombe,,PG
ADD,Addis Ababa Bole International Airport,Addis Ababa,ET
ADE,International,Khawr Maksar,YE
ADF,Adiyaman Airport,Adiyaman,TR
ADG,Lenawee County,Adrian,US
ADH,Aldan,Aldan,RU
ADI,Arandis,Arandis,
ADJ,Marka International Airport,Amman,JO
ADK,Adak Island Ns,,US
ADL,Adelaide Airport,Plympton,AU
ADM,Ardmore Municipal Airport,Dickson,US
ADN,Andes,Los Andes,CO
ADO,Andamooka,,AU
ADP,Ampara,,LK
ADQ,Kodiak Benny Benson State Airport,,US
ADR,Andrews,Andrews,US
ADS,Addison Airport,Haltom City,US
ADT,Ada Municipal,Ada,US
ADU,Ardabil Airport,Namin,IR
ADV,El Daein,El Daein,SD
ADW,Andrews AFB,Andrews AFB,US
ADX,Leuchars,Leuchars,GB
ADY,Alldays,,ZA
ADZ,Gustavo Rojas Pinilla Airport,San Andres,CO
AEA,Abemama Atoll,,KI
AEB,Youjiang,Tianzhou,CN
AED,Aleneva,,US
AEE,Adareil Airport,,SS
AEG,Aek Godang,Padangsidempuan,ID
AEH,Abéché,Abeche,TD
AEI,Algeciras,Algeciras,ES
AEK,Aseki,,PG
AEL,Albert Lea,Albert Lea,US
AEM,Amgu,,RU
AEO,Aioun El Atrouss,,MR
AEP,Jorge Newbery Airport,Colegiales,AR
AEQ,Ar Horqin Airport,Tianshan,CN
AER,Sochi International Airport,Orel-Izumrud,RU
AES,Vigra Alesund Airport,Valderoy,NO
AET,Allakaket,,US
AEU,Abu Musa,,IR
AEX,Alexandria International Airport,Alexandria,US
AEY,Akureyri Airport,Akureyri,IS
AFA,San Rafael Airport,San Rafael,AR
AFD,Port Alfred,,ZA
AFF,USAF Academy Airstrip,Cimarron Hills,US
AFI,Amalfi,Amalfi,CO
AFK,Ampara Kondavattavan Tank Airport,Ampara,LK
AFL,Alta Floresta Airport,,BR
AFN,Municipal,Jaffrey,US
AFO,Municipal,Afton,US
AFR,Afore,,PG
AFS,Zarafshan,Tomdibuloq,UZ
AFT,Afutara Aerodrome,,SB
AFW,Fort Worth Alliance Airport,Haslet,US
AFY,Afyon,Afyonkarahisar,TR
AFZ,Sabzevar,Sabzevar,IR
AGA,Agadir Al Massira Airport,Inezgane,MA
AGB,Augsburg Airport,Rehling,DE
AGC,Allegheny County Airport,Pleasant Hills,US
AGD,Anggi,Warmare,ID
AGE,Flugplatz,Wangerooge,DE
AGF,La Garenne Airport,Le Passage,FR
AGG,Angoram,,PG
AGH,Angelholm Helsingborg Airport,,SE
AGI,Wageningen,Wageningen,SR
AGJ,Aguni,,JP
AGK,Kagua,,PG
AGL,Wanigela,,PG
AGM,Tasiilaq,,GL
AGN,Angoon,,US
AGO,Municipal,Magnolia,US
AGP,Malaga Airport,,ES
AGQ,Agrinion,Dhokimion,GR
AGR,Kheria,Agra,IN
AGS,Augusta Regional Airport,,US
AGT,Alejo Garcia Airport,Colonia Yguazu,PY
AGU,Aguascalients International Airport,Penuelas (El Cienegal),MX
AGV,Acarigua,Araure,VE
AGW,Agnew,,AU
AGX,Agatti Island Airport,Kavaratti,IN
AGZ,Aggeneys,Pofadder,ZA
AHA,Naha AFB,,JP
AHB,Abha Regional Airport,,SA
AHC,Amedee AAF,Janesville,US
AHD,Downtown,Ardmore,US
AHE,Ahe Airport,,PF
AHF,Municipal,Arapahoe,US
AHH,Municipal,Amery,US
AHI,Amahai,Amahai,ID
AHJ,Hongyuan Airport,Qiongxi,CN
AHL,Aishalton,,GY
AHM,Sumner Parker Field,Ashland,US
AHN,Athens-Ben Epps,Winterville,US
AHO,Alghero-Fertilia Airport,Alghero,IT
AHS,Ahuas,Wawina,HN
AHU,Charif Al Idrissi Airport,Imzourene,MA
AHW,Saih Rawl,,OM
AHY,Ambatolahy,,MG
AHZ,Alpe D Huez,Huez,FR
AIA,Alliance Airport,Alliance,US
AIC,Airok,,MH
AID,Municipal,Anderson,US
AIE,Aiome,,PG
AIF,Assis,Assis,BR
AIG,Yalinga,,CF
AIH,Aiambak,,PG
AII,Alisabieh,'Ali Sabieh,DJ
AIK,Municipal,Aiken,US
AIL,Ailigandi,Ailigandi,PA
AIM,Ailuk Island,,MH
AIN,Wainwright,,US
AIO,Municipal,Atlantic,US
AIP,Ailinglapalap Island,,MH
AIR,Aripuana,,BR
AIS,Arorae Island,Kulia Village,KI
AIT,Aitutaki Airport,,CK
AIU,Atiu Island,,CK
AIV,George Downer,Aliceville,US
AIW,Ai-ais,,
AIY,Bader Field,,US
AIZ,Lee C Fine Memorial,,US
AJA,Ajaccio Napoleon Bonaparte Airport,Ajaccio,FR
AJF,Jouf Airport,Sakaka,SA
AJI,Agri Airport,Hamur,TR
AJJ,Akjoujt,Akjoujt,MR
AJK,Araak,Arak,IR
AJL,Aizawl Airport,Sairang,IN
AJN,Ouani,Ouani,KM
AJR,Arvidsjaur Airport,Arvidsjaur,SE
AJS,Abreojos,Bahia Asuncion,MX
AJU,Aracaju Airport,Aracaju,BR
AJY,Agades,Agadez,NE
AKA,Ankang,Ankang,CN
AKB,Atka,,US
AKC,Fulton International,Sawyerwood,US
AKD,Akola,Akola,IN
AKE,Akieni,,GA
AKF,Kufrah,Al Jawf,LY
AKG,Anguganak,,PG
AKH,Prince Sultan Air Base,Ad Dilam,SA
AKI,Akiak,,US
AKJ,Asahikawa Airport,Asahikawa,JP
AKK,Akhiok SPB,,US
AKL,Auckland Airport,Mangere,NZ
AKM,Zakouma,,TD
AKN,King Salmon Airport,,US
AKO,Colorado Plains Regional Airport,Akron,US
AKP,Anaktuvuk,,US
AKQ,Gunung Batin,Menggala,ID
AKR,Akure,Owena,NG
AKS,Gwaunaru'u,,SB
AKT,Raf Akrotiri,Kolossi,CY
AKU,Aksu Airport,,CN
AKV,Akulivik,,CA
AKW,Aghajari,Omidiyeh,IR
AKX,Aktyubinsk Airport,Aqtobe,KZ
AKY,Civil Airport,,MM
ALA,Almaty Airport,Pervomayskiy,KZ
ALB,Albany International Airport,Colonie,US
ALC,Alicante-Elche Airport,,ES
ALD,Alerta,,PE
ALE,Alpine,Alpine,US
ALF,Alta Airport,Alta,NO
ALG,Houari Boumediene Airport,Dar el Beida,DZ
ALH,Albany Airport,Albany,AU
ALI,International,Alice,US
ALJ,Alexander Bay Airport,,ZA
ALK,Asela,Huruta,ET
ALL,Albenga,Albenga,IT
ALM,Municipal,Boles Acres,US
ALN,Alton,Bethalto,US
ALO,Waterloo Airport,Cedar Falls,US
ALP,Nejrab,Aleppo,SY
ALQ,Federal,Alegrete,BR
ALR,Alexandra,,NZ
ALS,Alamosa Municipal Airport,Alamosa,US
ALT,Alenquer,Alenquer,BR
ALU,Alula,Bereeda,SO
ALW,Walla Walla Airport,Walla Walla East,US
ALX,Thomas C Russell Field,Alexander City,US
ALY,El Nohza,,EG
ALZ,Alitak SPB,,US
AMA,Rick Husband Amarillo International Airport,,US
AMB,Ambilobe,Ambilobe,MG
AMC,Am Timan,Am Timan,TD
AMD,Ahmedabad Airport,Naroda,IN
AME,Alto Molocue,,MZ
AMF,Ama,,PG
AMG,Amboin,,PG
AMH,Arba Mintch Airport,Arba Minch',ET
AMI,Selaparang,Mataram,ID
AMJ,Almenara,Almenara,BR
AMK,Animas Airpark,,US
AML,Puerto Armuellas,Puerto Armuelles,PA
AMM,Queen Alia International Airport,Al Jizah,JO
AMN,Gratiot Community,Alma,US
AMO,Mao,Mao,TD
AMP,Ampanihy,Ampanihy,MG
AMQ,Pattimura Airport,Amahusu,ID
AMR,Arno,,MH
AMS,Amsterdam Airport Schiphol,Aalsmeer,NL
AMT,Amata,,AU
AMU,Amanab,,PG
AMV,Amderma,Vorgashor,RU
AMW,Ames,Ames,US
AMX,Ammaroo,,AU
AMY,Ambatomainty,,MG
AMZ,Ardmore,Red Hill,NZ
ANA,John Wayne International,Anaheim,US
ANB,Anniston Metropolitan,Oxford,US
ANC,Ted Stevens Anchorage International Airport,,US
AND,Anderson,Centerville,US
ANE,Angers-Marce Airport,,FR
ANF,Cerro Moreno International Airport,Antofagasta,CL
ANG,Brie-Champniers,Champniers,FR
ANH,Anuha Island Resort,,SB
ANI,Aniak Airport,,US
ANJ,Zanaga,,CG
ANK,Etimesgut,Batikent,TR
ANL,Andulo,Camacupa,AO
ANM,Antsirabato,Antalaha,MG
ANN,Annette Island,,US
ANO,Angoche,,MZ
ANP,Lee,Annapolis,US
ANQ,Tri-State Steuben County,Angola,US
ANR,Antwerp International Airport,Mortsel,BE
ANS,Andahuaylas,San Jeronimo,PE
ANT,St Anton,Sankt Anton am Arlberg,AT
ANU,V.C. Bird International Airport,Parham,AG
ANV,Anvik Airport,,US
ANW,Ainsworth,Ainsworth,US
ANX,Andenes Airport,Andenes,NO
ANY,Anthony,Anthony,US
ANZ,Angus Downs,,AU
AOA,Aroa,,PG
AOB,Annanberg,,PG
AOC,Altenburg Nobitz,Altenburg,DE
AOD,Abou Deia,,TD
AOE,Anadolu University,,TR
AOG,Anshan Teng'ao Airport,Anshan,CN
AOH,Allen County,Lima,US
AOI,Ancona Falconara Airport,Falconara Marittima,IT
AOJ,Aomori Airport,,JP
AOK,Karpathos Airport,Karpathos,GR
AOL,Paso De Los Libres,Paso de los Libres,AR
AOM,Adam Airport,,OM
AON,Arona,,PG
AOO,Altoona Airport,Martinsburg,US
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Alianza Cristiana,PE
AOR,Sultan Abdul Halim Airport,Jitra,MY
AOS,Amook,,US
AOT,Corrado Gex,Chef-Lieu,IT
AOU,Attopeu,Attapu,LA
APA,Centennial Airport,,US
APB,Apolo,Mapiri,BO
APC,Napa County,American Canyon,US
APE,San Juan Aposento,,PE
APF,Naples Municipal Airport,Naples,US
APG,Phillips AAF,Aberdeen,US
APH,Camp A P Hill,Bowling Green,US
API,Apiay,Puerto Lopez,CO
APJ,Ngari Burang Airport,Burang,CN
APK,Apataki,,PF
APL,Nampula Airport,Nampula,MZ
APN,Alpena County Regional Airport,Alpena,US
APO,Apartado Airport,Carepa,CO
APP,Asapa,,PG
APQ,Arapiraca,Arapiraca,BR
APR,April River,,PG
APS,Anapolis,Anapolis,BR
APT,Marion County,Powells Crossroads,US
APU,Apucarana,,BR
APV,Apple Valley,Apple Valley,US
APW,Faleolo Airport,Satapuala,WS
APX,Arapongas,Apucarana,BR
APY,Alto Parnaiba,Morros,BR
APZ,Zapala,Zapala,AR
AQA,Araraquara,Araraquara,BR
AQB,Quiche Airport,Santa Cruz del Quiche,GT
AQG,Anqing Tianzhushan Airport,Anqing,CN
AQI,Qaisumah Airport,Al Qaysumah,SA
AQJ,King Hussein International Airport,Aqaba,JO
AQM,Ariquemes,Ariquemes,BR
AQP,Rodriguez Ballon International Airport,Arequipa,PE
AQS,Saqani,,FJ
AQY,Alyeska,,US
ARA,Acadiana Regional,Cade,US
ARB,Municipal,Ann Arbor,US
ARC,Arctic Village,,US
ARD,Alor Island Airport,Sifala,ID
ARE,Arecibo,Bajadero,PR
ARF,Acaricuara,,CO
ARG,Walnut Ridge,Walnut Ridge,US
ARH,Talagi Airport,Arkhangel'sk,RU
ARI,Chacalluta Airport,Arica,CL
ARJ,Arso,Arso,ID
ARK,Arusha Airport,Arusha,TZ
ARL,Arly,,BF
ARM,Armidale Airport,Armidale,AU
ARN,Stockholm Arlanda Airport,Marsta,SE
ARO,Arboletas,Arboletes,CO
ARP,Aragip,,PG
ARQ,Arauquita,Arauquita,CO
ARR,Alto Rio Senguerr,Alto Rio Senguer,AR
ARS,Aragarcas,Aragarcas,BR
ART,Watertown Airport,Dexter,US
ARU,Aracatuba Airport,Aracatuba,BR
ARV,Noble F. Lee,Lac du Flambeau,US
ARW,Arad,Arad,RO
ARX,Asbury Park,Shark River Hills,US
ARY,Ararat,Ararat,AU
ARZ,N'zeto,,AO
ASA,Assab International,,ER
ASB,Ashgabat Airport,Ashgabat,TM
ASC,Ascension,,BO
ASD,Andros Town,,BS
ASE,Aspen Airport,Aspen,US
ASF,Astrakhan Airport,Yaksatovo,RU
ASG,Ashburton,Ashburton,NZ
ASH,Boire Field,Nashua,US
ASI,Saint Helena Airport,,SH
ASJ,Amami Airport,,JP
ASK,Yamoussoukro,Yamoussoukro,CI
ASL,Harrison County,Marshall,US
ASM,Asmara International Airport,Asmara,ER
ASN,Talladega,Talladega,US
ASO,Asosa Airport,,ET
ASP,Alice Springs Airport,,AU
ASQ,Austin,,US
ASR,Kayseri Airport,Kayseri,TR
ASS,Arathusa Safari Lodge,,ZA
AST,Astoria,Warrenton,US
ASU,Silvio Pettirossi International Airport,Limpio,PY
ASV,Amboseli,Namanga,KE
ASW,Aswan Airport,Aswan,EG
ASX,Ashland,Ashland,US
ASY,Ashley,Ashley,US
ASZ,Asirim,,PG
ATA,Anta,Anta,PE
ATB,Atbara,Atbara,SD
ATC,Arthur's Town,,BS
ATD,Atoifi,,SB
ATE,Antlers,Antlers,US
ATF,Chachoan,San Miguel de Salcedo,EC
ATG,Attock,Akora,PK
ATH,Eleftherios Venizelos International Airport,Spata,GR
ATI,Artigas,Artigas,UY
ATJ,Antsirabe,Antsirabe,MG
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,,US
ATL,Hartsfield-Jackson Atlanta International Airport,,US
ATM,Altamira Airport,Altamira,BR
ATN,Namatanai,,PG
ATO,Ohio University,Athens,US
ATP,Airstrip,,PG
ATQ,Sri Guru Ram Dass Jee International Airport,Raja Sansi,IN
ATR,Mouakchott,Atar,MR
ATS,Artesia,Artesia,US
ATT,Atmautluak Airport,,US
ATU,Casco Cove,,US
ATV,Ati,Ati,TD
ATW,Outagamie County Regional Airport,Menasha,US
ATX,Atbasar,Atbasar,KZ
ATY,Watertown Airport,Watertown,US
ATZ,Assiut Airport,Asyut,EG
AUA,Reina Beatrix International Airport,Oranjestad,AW
AUB,Itauba Airport,Itauba,BR
AUC,Arauca Airport,Arauca,CO
AUD,Augustus Downs,,AU
AUE,Abu Rudeis,,EG
AUF,Auxerre Branches,Appoigny,FR
AUG,Augusta Airport,Augusta,US
AUH,Abu Dhabi International Airport,,AE
AUI,Aua Island,,PG
AUJ,Ambunti,,PG
AUK,Alakanuk Airport,,US
AUL,Aur Island,Aur,MH
AUM,Austin,Austin,US
AUN,Auburn,Auburn,US
AUO,Auburn-Opelika,Auburn,US
AUP,Agaun,,PG
AUQ,Hiva Oa Airport,,PF
AUR,Aurillac Airport,Aurillac,FR
AUS,Austin-Bergstrom International Airport,Hornsby Bend,US
AUT,Atauro,,ID
AUU,Aurukun Mission,,AU
AUV,Aumo,,PG
AUW,Municipal,Schofield,US
AUX,Araguaina Airport,Araguaina,BR
AUY,Aneityum,,VU
AUZ,Municipal Airport,Aurora,US
AVA,An Shun/Huang Guo Shu Airport,Anshun,CN
AVB,Aviano,Roveredo in Piano,IT
AVG,Auvergne,,AU
AVI,Maximo Gomez,Ciro Redondo,CU
AVK,Arvaikheer,Arvayheer,MN
AVL,Asheville Regional Airport,Fletcher,US
AVN,Avignon-Caumont Airport,Noves,FR
AVO,Municipal,Avon Park,US
AVP,Wilkes-Barre/Scranton International Airport,Avoca,US
AVR,Alverca,Sobralinho,PT
AVU,Avu Avu,,SB
AVV,Avalon Airport,Little River,AU
AVW,Avra Valley,Marana,US
AVX,Avalon Bay,,US
AWA,Awassa,Hawassa,ET
AWB,Awaba Airport,Awaba,PG
AWD,Aniwa,,VU
AWE,Alowe,,GA
AWK,Wake Island,,UM
AWM,Municipal,West Memphis,US
AWN,Alton Downs,,AU
AWP,Austral Downs Airport,,AU
AWR,Awar,,PG
AWZ,Ahwaz Airport,Ahvaz,IR
AXA,Clayton J. Lloyd International Airport,The Valley,AI
AXB,Alexandria Bay,Alexandria Bay,US
AXC,Aramac,,AU
AXD,Demokritos Airport,Alexandroupoli,GR
AXE,Xanxere,Xanxere,BR
AXF,Alxa Left Banner,Bayan Hot,CN
AXG,Algona,Algona,US
AXJ,Amakusa,Hondo,JP
AXK,Ataq,,YE
AXL,Alexandria,,AU
AXM,El Eden Airport,La Tebaida,CO
AXN,Alexandria,Alexandria,US
AXO,Bandar Udara Pantar,Pantar,ID
AXP,Springpoint Airport,Masons Bay,BS
AXR,Arutua Airport,Arutua,PF
AXS,Altus/Quartz Mountain Regional Airport,,US
AXT,Akita Airport,Akita,JP
AXU,Axum Airport,Aksum,ET
AXV,Neil Armstrong,Wapakoneta,US
AXX,Angel Fire,Angel Fire,US
AYA,Ayapel,Ayapel,CO
AYC,Ayacucho,Pelaya,CO
AYD,Alroy Downs,,AU
AYE,AAF Heliport,Ayer,US
AYG,Yaguara,,CO
AYI,Yari,,CO
AYJ,Maharishi Valmiki International Airport,Faizabad,IN
AYK,Arkalyk,Arkalyk,KZ
AYL,Anthony Lagoon,,AU
AYM,Yas Island SPB,,AE
AYN,Anyang Airport,Anyang,CN
AYO,Ayolas,Ayolas,PY
AYP,Yanamilla Airport,Carmen Alto,PE
AYQ,Connellan Airport,,AU
AYR,Ayr,Ayr,AU
AYS,Ware County,Deenwood,US
AYT,Antalya Airport,Aksu,TR
AYU,Aiyura,,PG
AYW,Ayawasi,Aifat,ID
AYX,Gerardo Pérez Pinedo,Puerto Ocopa,PE
AYY,Arugam Bay SPB,,LK
AYZ,Zahns,Amityville,US
AZA,Phoenix-Mesa Gateway Airport,Queen Creek,US
AZB,Amazon Bay,,PG
AZD,Yazd Airport,Yazd,IR
AZG,Apatzingan,Apatzingan,MX
AZH,Azamgarh Airport,Manduri,IN
AZI,Bateen,,AE
AZJ,Zhenjiang Dalu,Changzhou,CN
AZL,Fazenda Tucunare Airport,,BR
AZN,Andizhan Airport,Andijon,UZ
AZO,Kalamazoo Battle Creek International Airport,Portage,US
AZP,Atizapan,Iztacalco,MX
AZR,Adrar Airport,Adrar,DZ
AZS,Samaná El Catey International,Sanchez,DO
AZT,Zapatoca,Betulia,CO
AZZ,Ambriz,Nzeto,AO
BAA,Bialla,,PG
BAB,Beale AFB,Marysville,US
BAC,Barranca De Upia,Barranca de Upia,CO
BAD,Barksdale AFB,Bossier City,US
BAE,Barcelonnette,Barcelonnette,FR
BAF,Barnes,Westfield,US
BAG,Loakan,Tuding,PH
BAH,Bahrain International Airport,Al Muharraq,BH
BAI,Buenos Aires,Buenos Aires,CR
BAJ,Bali,,PG
BAL,Batman Airport,Yenikoy,TR
BAM,Lander County,Battle Mountain,US
BAN,Basongo,,CD
BAO,Udorn,,TH
BAP,Baibara,,PG
BAQ,E Cortissoz Airport,Malambo,CO
BAR,Baker AAF,,US
BAS,Balalae,,SB
BAT,Airport Chafei Amsei,Barretos,BR
BAU,Bauru Airport,Bauru,BR
BAV,Baotou Airport,Shulinzhao,CN
BAW,Biawonque,,GA
BAX,Barnaul Gherman Titov International Airport,Gon'ba,RU
BAY,Baia Mare,Tautii Magherus,RO
BAZ,Barbelos,Barcelos,BR
BBA,Teniente Vidal Airport,,CL
BBB,Benson Municipal Airport,Benson,US
BBC,Bay City,Bay City,US
BBD,Curtis Field,Brady,US
BBF,Burlington,Burlington,US
BBG,Butaritari,,KI
BBH,Barth,,DE
BBI,Biju Patnaik International Airport,Bhubaneshwar,IN
BBJ,Bitburg Air Base,Bitburg,DE
BBK,Kasane Airport,Kasane,BW
BBL,Ballera Airport,,AU
BBM,Battambang,Battambang,KH
BBN,Bario Airport,,MY
BBO,Berbera,Berbera,SO
BBP,Bembridge,,GB
BBQ,Barbuda,Codrington,AG
BBR,Baillif,Baillif,GP
BBS,Blackbushe,Yateley,GB
BBT,Berberati,Berberati,CF
BBU,Baneasa,,RO
BBV,Hkg,,CI
BBW,Broken Bow,Broken Bow,US
BBX,Wings Field,Blue Bell,US
BBY,Bambari,Bambari,CF
BBZ,Zambezi,,ZM
BCA,Baracoa,Baracoa,CU
BCB,Virginia Tech,Blacksburg,US
BCC,Bear Creek,Red Lodge,US
BCD,Bacolod-Silay International Airport,Bacolod City,PH
BCE,Bryce,,US
BCF,Bouca,Bouca,CF
BCG,Bemichi,,GY
BCH,Cakung International,Baucau,TL
BCI,Barcaldine Airport,,AU
BCJ,Baca Grande,Buena Vista,US
BCK,Bolwarra,Atherton,AU
BCL,Barra Colorado,Matina,CR
BCM,Bacau Airport,Margineni-Munteni,RO
BCN,Barcelona-El Prat Airport,El Prat de Llobregat,ES
BCO,Jinka,,ET
BCP,Bambu,,PG
BCQ,Brack,Brak,LY
BCR,Boca Do Acre,Boca do Acre,BR
BCS,Southern Seaplane,,US
BCT,Public,Boca Raton,US
BCU,Bauchi,Bauchi,NG
BCV,Belmopan,,BZ
BCW,Benguera Island,,MZ
BCX,Beloreck,Lomovka,RU
BCY,Bulchi,Felege Neway,ET
BCZ,Bickerton Island,,AU
BDA,L.F. Wade International Airport,,BM
BDB,Bundaberg Airport,Thabeban,AU
BDC,Barra Do Corda,Barra do Corda,BR
BDD,Badu Island,,AU
BDE,Baudette,,US
BDF,Rinkenberger,Wyoming,US
BDG,Blanding,Blanding,US
BDH,Bandar Lengeh,Bandar-e Lengeh,IR
BDI,Bird Island,Bel Ombre,SC
BDJ,Syamsudin Noor International Airport,Banjarbaru,ID
BDK,Bondoukou,Bondoukou,CI
BDL,Bradley International Airport,Windsor Locks,US
BDM,Bandirma,Bandirma,TR
BDN,Talhar,Badin,PK
BDO,Husein Sastranegara Airport,Bandung,ID
BDP,Bhadrapur Airport,Bhadrapur,NP
BDQ,Vadodara Airport,Vadodara,IN
BDR,Igor I. Sikorsky Memorial,,US
BDS,Brindisi - Salento Airport,Materdomini,IT
BDT,Gbadolite,Ouango,CD
BDU,Bardufoss Airport,Moen,NO
BDV,Moba,Karema,CD
BDW,Bedford Downs,,AU
BDX,Broadus,Broadus,US
BDY,State,Bandon,US
BDZ,Baindoung,,PG
BEA,Bereina,,PG
BEB,Benbecula Airport,Benbecula,GB
BEC,Beech,,US
BED,Hanscom Field,Bedford,US
BEE,Beagle Bay,,AU
BEF,Bluefields,Bluefields,NI
BEG,Belgrad Nikola Tesla Airport,Surcin,RS
BEH,Ross Field,Benton Heights,US
BEI,Beica,Asosa,ET
BEJ,Kalimarau Airport,,ID
BEK,Bareli,Rae Bareli,IN
BEL,Val De Cans International Airport,Belem,BR
BEM,Beni Mellal Airport,Beni Mellal,MA
BEN,Benina International,Benghazi,LY
BEO,Belmont,Belmont,AU
BEP,Bellary,Bellary,IN
BEQ,Honington,Thetford,GB
BER,Berlin Brandenburg Airport,,DE
BES,Brest Bretagne Airport,Guipavas,FR
BET,Bethel Airport,,US
BEU,Bedourie,,AU
BEV,Beer Sheba,Beersheba,IL
BEW,Beira Airport,,MZ
BEX,Benson RAF Station,Benson,GB
BEY,Beirut-Rafic Hariri International Airport,Baabda,LB
BEZ,Beru,,KI
BFA,Bahia Negra,,PY
BFB,Blue Fox Bay,,US
BFC,Bloomfield,,AU
BFD,Bradford Airport,Bradford,US
BFE,Bielefeld,Bielefeld,DE
BFF,Western Nebraska Regional Airport,Terrytown,US
BFG,Bullfrog Basin,,US
BFH,Bacacheri,Curitiba,BR
BFI,Boeing Field International Airport,Boulevard Park,US
BFJ,Bijie Airport,Bijie,CN
BFK,Buffalo Municipal Airport,Aurora,US
BFL,Meadows Field Airport,Oildale,US
BFM,Mobile Downtown Airport,,US
BFN,Bram Fischer International Airport,Bloemfontein,ZA
BFO,Buffalo Range,,ZW
BFP,Beaver Falls,West Mayfield,US
BFQ,Bahia Pinas,,PA
BFR,Virgil I Grissom Municipalcipal,Bedford,US
BFS,Belfast International Airport,Antrim,GB
BFT,County,Beaufort,US
BFU,Bengbu,Bengbu,CN
BFV,Buri Ram Airport,Satuek,TH
BFW,Sidi Belabbes,Sidi Bel Abbes,DZ
BFX,Bafoussam,Bafoussam,CM
BGA,Palonegro International Airport,Lebrija,CO
BGB,Booue,,GA
BGC,Braganca Airport,Braganca,PT
BGD,Borger,Borger,US
BGE,Decatur County,Bainbridge,US
BGF,Bangui Airport,Bangui,CF
BGG,Bingol Airport,,TR
BGH,Abbaye,Golere,MR
BGI,Grantley Adams International Airport,,BB
BGJ,Borgarfjordur Eystri,,IS
BGK,Big Creek,,BZ
BGL,Baglung,Baglung,NP
BGM,Greater Binghamton Airport,Johnson City,US
BGN,Belaya Gora Airport,Belaya Gora,RU
BGO,Bergen Airport,Ytrebygda,NO
BGP,Bongo,,GA
BGQ,Big Lake,,US
BGR,Bangor International Airport,Bangor,US
BGS,Webb AFB,,US
BGT,Bagdad,Bagdad,US
BGU,Bangassou,,CF
BGV,Bento Goncalves,Bento Goncalves,BR
BGW,Baghdad International Airport,Abu Ghurayb,IQ
BGX,Airport Cmdt. Gustavo Kraemer,Bage,BR
BGY,Orio al Serio International Airport,Orio al Serio,IT
BGZ,Braga,Braga,PT
